282,296
25,187,498
209,47,63
269,212,76
248,350,437
174,141,339
182,256,321
179,151,186
335,29,275
218,353,237
164,308,81
284,320,338
335,340,120
341,92,163
205,139,321
84,20,496
301,206,319
212,107,206
157,307,155
252,90,320
246,287,81
41,181,217
45,134,212
255,276,264
111,158,166
247,299,89
249,350,205
210,116,412
254,328,397
177,200,395
59,55,261
245,74,172
209,245,480
40,158,182
158,265,236
212,130,9
91,300,191
324,69,348
143,138,202
227,286,119
192,274,272
90,131,500
147,140,325
91,300,114
240,256,163
56,302,170
344,323,225
21,132,138
309,151,248
33,307,164
163,64,31
193,128,10
57,123,266
289,330,415
268,121,334
284,288,66
314,241,262
280,229,19
154,342,127
196,188,233
124,45,110
326,309,299
71,169,109
24,4,337
25,126,21
249,236,4
146,163,283
89,45,274
223,199,346
68,357,474
181,120,73
24,337,149
147,145,391
122,326,10
88,14,89
320,43,202
11,54,480
182,245,42
309,281,411
39,320,367
58,238,279
100,177,343
264,103,274
65,291,437
298,103,466
162,123,196
59,101,391
69,0,242
96,171,391
172,301,317
276,59,273
242,235,306
8,296,377
176,331,308
14,57,304
226,348,497
348,300,375
306,180,297
312,210,165
237,169,296
1,125,331
183,355,493
107,271,255
0,112,313
30,142,258
203,331,170
177,318,70
298,176,100
214,346,292
303,111,3
270,2,438
14,171,64
66,52,88
153,249,152
19,312,37
311,150,102
166,66,131
259,289,462
316,139,85
290,354,349
214,189,289
129,252,341
97,240,486
322,145,425
211,279,416
257,343,492
208,346,293
128,140,144
152,101,329
37,203,253
314,333,115
114,260,281
10,8,403
72,29,470
50,2,212
153,153,464
1,64,181
121,70,212
142,96,49
123,189,427
314,349,320
176,303,262
130,126,72
17,128,304
49,168,101
269,95,320
236,3,53
152,355,201
66,136,330
146,284,162
