-97,-129
106,86,219
-117,-37,252
-165,-171,75
114,-161,129
175,46,175
10,99,478
93,-115,7
177,-140,174
-64,-38,161
162,-105,423
51,-146,213
109,106,161
82,-59,385
-115,107,454
-91,-156,91
152,25,266
67,170,488
-24,16,285
-86,-107,350
168,-38,383
156,-106,343
138,61,157
110,-63,481
17,150,207
15,-111,183
-70,26,194
66,72,101
-90,-73,165
-176,-116,185
161,-151,438
-72,92,101
27,77,322
-169,126,86
30,-86,267
28,-75,353
-64,-132,413
88,-142,293
-177,-138,396
-149,-174,348
72,43,66
-43,-40,27
-7,-68,262
47,-58,98
-13,-178,276
-24,135,461
-112,137,5
59,178,133
-142,86,179
-88,91,120
123,137,246
50,-159,13
-52,121,350
-21,155,258
54,-130,209
-5,-159,409
-104,18,472
51,86,110
-116,-120,492
22,101,320
95,-86,452
99,106,420
81,176,199
6,-110,457
-21,-90,427
98,-120,73
-145,-78,17
93,-94,202
-159,-103,472
-105,-87,343
136,-165,250
27,166,225
-137,16,104
-39,10,45
-87,-128,202
76,-50,417
98,-43,387
-32,-46,52
-1,106,211
-70,-165,366
-55,26,325
48,-110,69
-178,153,79
143,178,63
-11,179,264
120,-74,237
128,89,60
-143,166,438
-163,-166,26
-27,43,65
52,95,2
43,124,408
-102,-26,182
-42,-79,213
22,-107,145
-107,120,67
31,143,366
-105,41,130
-22,127,242
-27,117,306
-88,-20,167
89,170,451
-77,138,298
165,-157,155
101,52,433
12,21,69
27,52,229
132,-15,300
25,-88,163
149,136,64
-140,139,498
145,-119,305
-75,-107,429
-83,79,441
162,-166,380
-75,-23,229
-179,18,453
47,-90,439
-30,122,287
24,-121,18
148,50,470
27,57,480
-55,-164,454
-102,17,440
53,-77,251
-110,-134,99
-180,162,125
-59,-95,258
-72,-12,12
-93,-62,62
58,-148,94
-128,-121,459
35,-71,296
-69,85,416
39,-152,202
-81,-168,160
70,177,299
113,22,486
-140,-31,342
3,154,6
-130,-162,337
-155,151,171
108,170,156
83,-22,76
54,78,283
-56,88,154
-134,43,415
12,-85,187
-101,-174,458
-162,11,315
-161,65,498
112,106,35
-6,-32,313
140,1,137
145,-172,220
17,73,480
-153,-104,53
-148,111,222
-13,130,130
-74,-120,498
-44,161,416
-131,121,433
102,4,392
48,-104,210
-106,125,157
-110,59,361
114,134,260
-147,-37,51
-176,96,166
61,163,71
79,169,261
-8,109,446
1,-177,379
-119,-138,74
-17,57,109
83,-85,282
-52,-161,167
-101,-13,126
89,-35,465
-96,-116,414
-12,110,393
-41,101,452
-141,-15,15
94,60,57
-130,54,60
33,34,167
118,120,404
30,-5,243
-172,-96,191
50,-124,498
-5,99,109
23,88,311
10,-79,204
62,137,222
126,33,406
88,58,341
172,157,349
-25,75,11
151,35,364
29,162,359
